aX,aY,aZ,gX,gY,gZ
-0.188,0.889,0.268,-0.194,0.083,-0.032
-0.019,0.842,0.062,-0.174,0.188,-0.017
-0.37,0.81,0.093,-0.175,0.122,-0.021
0.013,0.725,0.175,-0.12,0.163,-0.013
-0.364,0.988,0.566,-0.201,0.151,-0.018
-0.169,0.712,-0.062,-0.225,0.141,-0.03
,,,,,
-2.597,2.139,1.197,0.238,1.413,-0.021
-2.75,2.228,1.41,0.132,1.188,-0.037
-2.436,2.115,1.342,-0.056,0.819,-0.068
0.485,0.842,-0.554,-0.085,1.612,-0.036
-2.798,1.772,-0.166,0.354,2.384,0.189
-4.324,2.297,-0.157,-0.001,1.337,0.013
-1.79,1.136,-1.31,-0.044,1.648,-0.001
-4.501,2.241,-0.79,0.147,1.946,0.206
-4.782,2.223,-1.037,-0.215,1.249,-0.042
-4.213,1.956,-1.517,-0.254,1.742,-0.007
-5.874,2,-1.766,-0.38,1.479,0.034
-5.583,1.623,-2.531,-0.309,1.344,0.015
-5.746,1.474,-2.859,0.029,1.682,0.308
-6.82,1.905,-3.112,0.131,1.273,0.345
-7.195,2.391,-2.829,0.005,0.859,0.249
-6.953,2.195,-3.418,-0.123,0.673,0.158
-6.948,2.438,-3.547,0.005,0.827,0.286
-7.32,2.35,-3.699,-0.102,0.624,0.27
-8.135,2.843,-3.722,-0.204,0.135,-0.034
-7.458,2.624,-3.716,-0.261,-0.039,-0.041
-6.829,2.405,-3.892,-0.171,0.152,0.015
-7.476,2.506,-3.821,-0.122,0.132,0.043
-7.636,2.587,-3.584,-0.213,-0.05,-0.05
-6.831,2.259,-3.815,-0.108,0.287,0.03
-7.699,2.728,-3.452,-0.101,0.206,0.027
-7.36,2.5,-3.801,-0.205,0.059,-0.053
-7.138,2.55,-3.774,-0.144,0.068,-0.03
-7.284,2.52,-3.585,-0.204,-0.059,-0.052
-6.871,2.498,-3.713,-0.178,0.048,-0.06
-7.245,2.411,-3.497,-0.143,0.088,-0.041
-6.847,2.388,-3.488,-0.132,0.14,-0.008
-7.446,2.473,-3.494,-0.175,0.123,-0.008
-7.023,2.583,-3.555,-0.127,0.092,-0.01
-7.233,2.478,-3.394,-0.165,0.196,0.005
-7.147,2.522,-3.565,-0.168,0.069,-0.013
-7.184,2.544,-3.559,-0.18,0.143,-0.01
-7.226,2.43,-3.484,-0.161,0.041,-0.037
-6.912,2.442,-3.261,-0.096,0.22,0.037
-7.858,2.626,-3.069,-0.181,-0.001,-0.023
-7.403,2.662,-2.977,-0.388,-0.39,-0.159
-7.088,2.376,-2.872,-0.563,-0.77,-0.332
-6.563,2.048,-2.874,-0.537,-0.559,-0.272
-7.649,2.257,-2.474,-0.527,-0.872,-0.319
-5.78,1.677,-2.492,-0.73,-1.486,-0.519
-5.134,1.188,-2.105,-0.565,-1.267,-0.394
-6.5,1.569,-1.123,-0.659,-1.202,-0.42
-3.856,0.622,-1.794,-0.717,-1.762,-0.542
-4.502,0.794,-1.128,-0.34,-0.914,-0.206
-2.74,0.297,-1.222,-0.344,-1.628,-0.373
-3.087,0.545,-0.345,-0.158,-1.288,-0.204
-2.826,0.492,-0.934,-0.402,-3.675,-0.409
0.39,0.389,-0.769,0.171,-2.343,-0.271
0.71,0.845,0.253,-0.13,-2.711,-0.131
4.005,-0.209,-0.619,-0.098,-0.882,-0.155
2.735,0.627,0.091,0.021,-0.019,0.007
2.024,0.323,-0.187,0.005,0.358,0.02
1.967,0.676,0.013,0.173,0.795,0.007
1.226,0.83,0.354,0.016,0.463,0.04
1.41,0.856,0.382,-0.081,0.47,-0.046
1.539,0.82,0.375,-0.155,0.516,-0.004
0.673,0.781,0.48,-0.206,0.341,-0.028
1.689,0.724,0.317,-0.325,0.134,-0.056
0.971,0.627,0.001,-0.192,0.428,0.019
1.003,0.696,0.008,-0.131,0.197,-0.015
1.401,0.684,0.136,-0.139,0.293,0.013
0.927,0.803,0.08,-0.185,0.097,0.022
1.342,0.618,-0.226,-0.059,0.343,0.022
0.757,0.806,0.024,-0.018,0.351,0.047
1.07,0.844,-0.101,-0.028,0.276,0.051
0.492,0.973,0.207,-0.08,0.328,0.074
0.831,0.974,-0.034,-0.184,0.106,0.047
0.66,0.943,-0.023,-0.13,0.289,0.07
0.566,0.843,0.008,-0.146,0.11,0.04
1.101,0.837,-0.038,0.005,0.263,0.037
0.324,1.336,0.684,-0.222,-0.058,0.118
1.22,0.648,-0.285,-0.324,0.008,0.179
0.763,0.731,-0.723,0.11,0.527,0.151
0.159,1.314,0.638,-0.059,0.18,0.122
0.897,0.778,0.004,-0.097,0.234,0.075
0.897,1.148,0.6,0.04,0.372,0.117
0.164,1.077,0.976,-0.175,0.225,0.056
0.527,0.976,0.158,-0.187,0.16,0.026
0.274,1.104,-0.065,-0.022,0.341,0.048
0.261,1.284,0.072,-0.09,0.258,0.032
0.71,1.063,-0.032,-0.109,0.337,0.018
0.323,1.216,0.138,-0.186,0.319,0.06
0.521,1.132,0.578,-0.203,0.323,0.113
0.016,1.235,0.612,-0.294,0.289,0.064
-0.099,1.086,0.067,-0.233,0.205,0.063
-0.238,1.111,0.329,-0.169,0.27,0.058
-0.403,1.083,0.147,-0.174,0.098,0.023
-0.08,1.026,0.212,-0.114,0.1,0.012
0.022,1.128,0.14,-0.172,0.068,-0.033
0.356,0.994,-0.043,-0.121,0.186,-0.032
0.067,1.211,0.253,-0.16,0.158,-0.003
0.098,0.998,0.124,-0.169,0.109,0.002
-0.047,1.141,0.28,-0.156,0.145,-0.008
-0.406,1.122,0.472,-0.236,0.038,-0.022
-0.035,1.13,-0.171,-0.278,-0.142,-0.042
0.778,0.791,0.801,-0.147,0.173,0
-0.171,1.188,-0.013,-0.255,-0.061,-0.083
0.772,0.952,-0.247,-0.103,0.038,0.02
0.205,1.115,-0.287,-0.155,0.202,0.04
0.453,0.948,0.113,-0.199,0.237,0.044
0.247,0.923,0.237,-0.18,0.219,0.025
0.241,0.885,0.5,-0.271,0.114,-0.012
0.26,0.931,0.182,-0.099,0.333,-0.013
0.305,1.071,-0.145,-0.171,0.17,0.003
0.135,1.003,0.059,-0.17,0.321,0.014
0.011,1.004,0.174,-0.233,0.329,0.049
-0.05,0.703,0.311,-0.278,0.108,0.023
0.306,0.733,0.267,-0.118,0.182,-0.032
-0.119,0.901,0.101,-0.075,0.19,-0.02
0.119,0.898,0.051,-0.034,0.252,-0.015
-0.373,1.146,0.017,-0.11,0.211,-0.006
-0.065,0.961,0.117,-0.128,0.149,-0.017
-0.134,1.135,0.006,-0.162,0.168,-0.008
-0.034,0.925,0.122,-0.225,0.068,-0.007
0.093,0.982,0.215,-0.133,0.219,-0.013
,,,,,
-4.099,-0.869,-0.837,-1.148,2.803,-0.105
-4.533,-0.9,-0.945,-1.192,2.532,-0.134
-3.205,-1.883,-1.822,-1.175,2.187,-0.285
-2.665,-2.597,-2.96,-0.213,3.293,0.424
-3.296,-2.271,-4.32,0.878,4.771,1.337
-8.249,0.002,-4.258,1.108,4.646,1.608
-9.75,0.453,-4.974,0.662,2.631,0.567
-7.363,0.895,-5.638,0.634,2.404,0.712
-9.402,0.704,-6.051,0.62,1.892,0.703
-7.739,0.838,-6.835,0.576,1.42,0.764
-10.421,1.887,-6.014,0.312,1.377,0.688
-10.068,1.489,-6.418,-0.085,-0.056,0.005
-8.824,1.577,-6.868,0.022,0.38,0.09
-9.935,1.678,-6.723,-0.101,0.11,0.124
-9.333,1.725,-7.159,-0.228,-0.06,-0.039
-9.256,1.493,-7.069,-0.126,-0.033,0.005
-8.934,1.688,-6.937,-0.125,-0.052,0.009
-9.394,1.537,-6.899,-0.237,-0.019,-0.082
-8.556,1.403,-7.187,-0.145,0.063,-0.01
-9.295,1.595,-6.802,-0.134,0.145,0.024
-9.215,1.688,-6.88,-0.149,0.018,-0.043
-8.965,1.566,-6.609,-0.166,0.171,-0.015
-8.944,1.457,-6.765,-0.179,0.09,-0.028
-9.349,1.53,-6.551,-0.165,-0.008,-0.006
-9.505,1.456,-6.363,-0.245,-0.351,-0.184
-9.313,1.331,-6.212,-0.193,-0.639,-0.253
-9.419,1.528,-5.642,-0.369,-1.241,-0.371
-8.862,1.034,-5.454,-0.443,-1.446,-0.496
-7.821,0.883,-5.015,-0.324,-1.305,-0.428
-8.216,0.745,-4.302,-0.405,-1.495,-0.425
-7.837,0.673,-4.117,-0.493,-2.099,-0.709
-6.059,-0.061,-3.571,-0.379,-2.402,-0.659
-4.366,-0.498,-3.051,0.039,-2.234,-0.38
-5.121,0.772,-0.955,0.03,-1.514,-0.115
-6.947,1.13,-1.158,-0.939,-4.061,-0.668
