aX,aY,aZ,gX,gY,gZ
0.268,-6.727,-3.347,0.113,0.021,0.001
0.279,-6.748,-3.008,-0.035,0.057,0.038
0.277,-6.862,-3.203,0.048,0.031,-0.008
0.395,-6.543,-2.702,-0.022,0.077,0.058
0.049,-7.081,-3.095,-0.071,0.011,-0.014
0.359,-6.455,-2.909,0.078,0.047,0.02
-0.135,-7.193,-3.141,-0.075,0.11,0.033
0.362,-6.78,-3.22,0.134,0.012,0.005
0.043,-6.712,-2.977,0.006,0.121,0.062
0.012,-6.619,-2.94,0.052,0.143,-0.026
0.077,-6.668,-2.735,-0.001,0.085,0.014
-0.037,-6.719,-2.8,0.052,0.061,0.018
-0.186,-6.607,-2.666,0.047,0.115,0.039
0.045,-6.761,-3.069,0.072,0.099,0.004
-0.127,-6.549,-2.965,0.192,0.108,0.037
0.005,-6.278,-2.811,0.181,0.143,0.071
-0.4,-6.604,-3.227,0.348,0.068,0.047
0.116,-5.745,-2.624,0.503,0.151,0.14
-0.327,-6.025,-2.492,0.363,0.41,0.158
-0.62,-5.81,-2.349,0.316,0.258,0.112
-0.576,-5.654,-2.212,0.327,0.193,0.088
-0.733,-5.533,-1.85,0.122,0.162,0.064
-0.633,-5.802,-2.389,0.205,0.032,0.034
-0.909,-5.618,-1.909,0.388,0.19,0.097
-0.915,-5.223,-1.437,0.246,0.063,0.106
-0.731,-5.259,-1.828,0.288,0.1,0.172
-1.349,-5.253,-2.039,0.329,0.208,0.151
-1.094,-4.931,-2.181,0.404,-0.049,0.099
-0.755,-4.745,-1.863,0.462,0.177,0.164
-1.362,-4.458,-1.482,0.451,0.068,0.147
-0.994,-4.417,-1.578,0.52,0.089,0.161
-1.453,-4.108,-1.227,0.609,0.175,0.191
-1.343,-4.081,-0.915,0.558,0.031,0.191
-1.325,-3.7,-0.862,0.668,0.133,0.159
-1.53,-3.371,-0.512,0.638,0.151,0.151
-1.748,-3.689,-1.009,0.879,0.111,0.031
-1.854,-2.03,-0.014,0.926,-0.192,0.047
-1.551,-2.145,0.018,0.516,0.021,0.073
-1.85,-1.866,-0.426,0.503,0.164,0.003
-1.794,-2.084,-0.49,0.328,0.013,0.066
-1.877,-2.034,-0.541,0.391,0.295,-0.01
-1.628,-1.464,-0.132,0.306,-0.068,0.01
-1.543,-1.472,-0.286,0.222,0.055,0.014
-1.493,-1.207,0.198,0.132,-0.017,0.028
-2.218,-1.669,0.338,-0.034,0.332,0.031
-1.946,-1.373,-0.063,-0.019,0.124,0.001
-1.793,-1.395,-0.523,0.035,0.119,-0.013
-1.839,-1.444,0.024,-0.03,0.079,0.006
-2.094,-1.301,-0.401,-0.076,-0.006,-0.017
-1.92,-1.528,-0.397,0,-0.093,-0.014
-2.008,-1.403,-0.397,-0.019,-0.029,-0.027
-1.772,-1.352,-0.261,0.036,-0.041,-0.018
-1.781,-1.367,-0.261,-0.051,-0.033,-0.021
-1.89,-1.466,-0.249,-0.004,-0.045,-0.03
-1.634,-1.296,-0.291,-0.048,-0.021,-0.021
-1.745,-1.302,-0.353,-0.069,-0.03,-0.02
-1.687,-1.353,-0.244,-0.018,0.01,-0.009
-1.726,-1.293,-0.31,-0.075,-0.03,-0.016
-1.749,-1.366,-0.3,-0.038,0.014,0
-1.654,-1.259,-0.358,-0.027,0.008,-0.018
-1.727,-1.322,-0.277,-0.062,0.002,-0.006
-1.587,-1.447,-0.259,-0.015,0.004,-0.009
-1.756,-1.284,-0.351,-0.058,0.013,-0.015
-1.66,-1.323,-0.195,-0.026,0.033,-0.015
-1.682,-1.245,-0.454,-0.056,0.011,-0.018
-1.675,-1.397,-0.206,-0.038,0.017,-0.013
-1.666,-1.226,-0.447,-0.025,0.005,-0.014
-1.528,-1.296,-0.289,-0.054,-0.002,-0.016
-1.69,-1.35,-0.296,-0.04,0.015,-0.019
-1.603,-1.246,-0.32,-0.043,0.02,-0.017
-1.793,-1.273,-0.296,-0.04,0.027,-0.014
-1.644,-1.198,-0.358,-0.033,0.017,-0.017
-1.65,-1.305,-0.247,-0.053,0.022,-0.019
-1.702,-1.226,-0.344,-0.04,0.004,-0.017
-1.621,-1.274,-0.299,-0.034,-0.006,-0.014
-1.641,-1.19,-0.338,-0.046,0.003,-0.011
-1.586,-1.323,-0.329,-0.066,0.015,-0.022
-1.759,-1.252,-0.17,-0.046,0.02,-0.015
-1.532,-1.292,-0.34,-0.038,0.028,-0.019
-1.609,-1.228,-0.293,-0.062,0.025,-0.015
-1.671,-1.305,-0.26,-0.039,0.051,-0.011
-1.658,-1.258,-0.292,-0.045,0.033,-0.012
-1.65,-1.317,-0.229,-0.018,0.016,-0.02
-1.683,-1.221,-0.435,-0.033,-0.001,-0.036
-1.684,-1.292,-0.28,-0.052,0.008,-0.018
-1.686,-1.235,-0.251,-0.055,-0.009,-0.016
-1.627,-1.237,-0.309,-0.067,0.039,-0.011
-1.572,-1.316,-0.231,-0.069,-0.007,-0.017
-1.634,-1.313,-0.26,-0.055,0.006,-0.013
-1.617,-1.241,-0.338,-0.006,0.034,-0.021
